SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActiviationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator
03902.*A,AIRPORT,MCN,5/31/12,ASO,ATL,GA,GEORGIA,BIBB,GA,MACON,MIDDLE GEORGIA RGNL,PU,PU,CITY OF MACON,CITY HALL,"MACON, GA 31202",    478-788-3760,SCOTT COFFMAN,1000 TERMINAL DR,"MACON, GA 31297",    478-788-3760,32-41-34.2600N,117694.2600N,083-38-57.1600W,301137.1600W,E,354,S,03W,1990,800,ATLANTA,9,S,1149,ZTL,ZCT,ATLANTA,,,,N,MCN,MACON,,1-800-WX-BRIEF,,,,MCN,Y,3/1/42,O,I A S 05/1973,NGPY,NOT ANALYZED,N,N,Y,Y,F,F,6222010,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,122.95,128.2,Y,CG,N,,35,32,6,3,,,,643,,1799,3230,13489,4372,5/31/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,CHTR,INSTR,RNTL,SALES",Y-L
03992.*A,AIRPORT,SAV,5/31/12,ASO,ATL,GA,GEORGIA,CHATHAM,GA,SAVANNAH,SAVANNAH/HILTON HEAD INTL,PU,PU,SAVANNAH AIRPORT COMMISSION,400 AIRWAYS AVE.,"SAVANNAH, GA 31408",    912-964-0514,PATRICK S. GRAHAM,400 AIRWAYS AVE.,"SAVANNAH, GA 31408",    912-964-0514,32-07-39.3000N,115659.3000N,081-12-07.7000W,292327.7000W,E,50,S,06W,2005,,ATLANTA,7,NW,3650,ZJX,ZCJ,JACKSONVILLE,,,,,MCN,MACON,,1-800-WX-BRIEF,,,,SAV,Y,9/1/42,O,I C S 05/1973,NGPY3,NO OBJECTION,N,Y,Y,Y,F,F,8032011,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,119.1,Y,CG,N,,85,22,14,8,,8,,14593,,24274,18767,36053,8175,6/30/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
04071.*A,AIRPORT,VLD,5/31/12,ASO,ATL,GA,GEORGIA,LOWNDES,GA,VALDOSTA,VALDOSTA RGNL,PU,PU,VALDOSTA-LOWNDES CTY APT AUTH,1750 ARPT RD,"VALDOSTA, GA 31601",    229-333-1833,JIM GALLOWAY,1750 AIRPORT ROAD,"VALDOSTA, GA 31601",    229-333-1833,30-46-52.9400N,110812.9400N,083-16-34.3900W,299794.3900W,E,203,S,05W,2010,,JACKSONVILLE,3,S,760,ZJX,ZCJ,JACKSONVILLE,,,,N,MCN,MACON,,1-800-WX-BRIEF,,,,VLD,Y,4/1/40,O,I A S 05/1973,NGRY3,NO OBJECTION,N,N,N,Y,F,F,6212011,,100LLA1+,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,122.95,120.9,Y,CG,N,,36,15,2,,,,,10,,1881,3729,8756,4080,5/31/11,FAA-EST,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,"AFRT,AGRI,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L
51510.*A,AIRPORT,GUM,5/31/12,AWP,HNL,GU,GUAM,GUAM,GU,AGANA,GUAM INTL,PU,PU,A.B. WON PAT GUAM INT'L ARPT AUTHOR,P.O. BOX 8770,"TAMUNING, GU 96931-1278",    671-646-0300,CHARLES H. ADA II,P.O. BOX 8770,"TAMUNING, GU 96931",    671-646-0300,13-29-01.9456N,048541.9456N,144-47-49.8131E,521269.8131E,E,297,S,02E,2000,1002,GNC 7,3,NE,1657,ZUA,ZUA,GUAM,,,,N,HNL,HONOLULU,,1-800-WX-BRIEF,,,,GUM,Y,6/1/53,O,I E S 04/1995,NGPSY,,N,Y,N,Y,F,F,3292012,,100LLA1,MINOR,MINOR,HIGH,HIGH/LOW,,SS-SR,Y,,,N,CG,Y,,12,9,21,0,,,,20665,,5133,7898,16587,245,3/1/12,FAA-EST,00:00.0,FAA-EST,00:00.0,,"HGR,TIE","AFRT,CARGO,CHTR,INSTR",Y-L
52095.*A,AIRPORT,ITO,5/31/12,AWP,HNL,HI,HAWAII,HAWAII,HI,HILO,HILO INTL,PU,PU,STATE OF HAWAII ARPT DIV DOT,HONOLULU INTL ARPT,"HONOLULU, HI 96819",    808-838-8600,STEVEN J. SANTIAGO,"ASSISTANT AIRPORT DISTRICT MANAGER, HILO INTL AIRPORT, 1363 MOKUEA ST.","HILO, HI 96720",    808-961-9300,19-43-12.9468N,070992.9468N,155-02-54.4925W,558174.4925W,E,38,S,11E,1985,,HAWAIIAN ISLANDS,2,E,1007,ZHN,ZHN,HONOLULU CONTROL FACILITY,,,,N,HNL,HONOLULU,,1-800-WX-BRIEF,,,,ITO,Y,4/1/38,O,I C S 05/1973,NGY3,NO OBJECTION,N,Y,Y,Y,F,F,3172011,,100LLA,MINOR,NONE,NONE,NONE,SEE RMK,SS-SR,Y,,118.1,Y,CG,N,,20,2,,10,,10,2,13933,,39291,9390,6010,10017,12/31/10,NGS,00:00.0,NGS,00:00.0,,TIE,"AFRT,AGRI,CARGO,CHTR,INSTR,RNTL",Y-L
52161.*A,AIRPORT,HNL,5/31/12,AWP,HNL,HI,HAWAII,HONOLULU,HI,HONOLULU,HONOLULU INTL,PU,PU,STATE OF HAWAII,HONOLULU INTL AIRPORT,"HONOLULU, HI 96819",    808-838-8600,JIM PRATT,300 RODGERS BLVD. #12,"HONOLULU, HI 96819-1897",    808-836-6533,21-19-07.2526N,076747.2526N,157-55-20.7432W,568520.7432W,E,13,S,11E,1990,,HAWAIIAN ISLANDS,3,NW,4220,ZHN,ZHN,HONOLULU CONTROL FACILITY,,,,N,HNL,HONOLULU,,1-800-WX-BRIEF,,,,HNL,Y,2/1/38,O,I E S 05/1973,NGPSY3,NO OBJECTION,N,Y,Y,Y,F,F,12232011,,100  80   A    A1+  B,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,,SS-SR,Y,,,N,CG,N,,121,54,4,20,,32,,148601,,57829,645,43923,14108,11/30/11,FAA-EST,00:00.0,NGS,00:00.0,,TIE,"AFRT,AGRI,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES,SURV",Y-L
52240.*A,AIRPORT,OGG,5/31/12,AWP,HNL,HI,HAWAII,MAUI,HI,KAHULUI,KAHULUI,PU,PU,HAWAII STATE AIRPORTS DIV,HONOLULU INTL ARPT,"HONOLULU, HI 96819",    808-838-8600,MARVIN MONIZ,"1 KAHULUI AIRPORT ROAD, UNIT 5","KAHULUI, HI 96732",    808-872-3808,20-53-55.1390N,075235.1390N,156-25-49.6483W,563149.6483W,E,54,S,11E,1990,,HAWAIIAN ISLANDS,3,E,1391,ZHN,ZHN,HONOLULU CONTROL FACILITY,,,,N,HNL,HONOLULU,,1-800-WX-BRIEF,,,,OGG,Y,10/1/46,O,I D S 05/1973,NGYP,NO OBJECTION,N,Y,N,Y,F,F,6202011,,100  A,MINOR,MINOR,NONE,NONE,,SEE RMK,Y,122.95,118.7,Y,CG,N,,16,13,,25,,,2,39585,,61687,7163,11004,2305,4/30/11,NGS,00:00.0,NGS,00:00.0,,TIE,"AFRT,AGRI,CARGO,INSTR,RNTL",Y
52250.2*A,AIRPORT,KOA,5/31/12,AWP,HNL,HI,HAWAII,HAWAII,HI,KAILUA/KONA,KONA INTL AT KEAHOLE,PU,PU,HAWAII ST ARPTS DIV,HONOLULU INTL ARPT,"HONOLULU, HI 96819",    808-838-8600,CHAUNCEY WONG YUEN,"73-200 KUPIPI ST, KONA INTL AIRPORT AT KEAHOLE","KAILUA-KONA, HI 96740-2645",    808-327-9520,19-44-19.5570N,071059.5570N,156-02-44.2730W,561764.2730W,E,47,S,11E,1985,,HAWAIIAN ISLANDS,6,NW,2700,ZHN,ZHN,HONOLULU CONTROL FACILITY,,,,N,HNL,HONOLULU,,1-800-WX-BRIEF,,,,KOA,Y,1/1/71,O,I D S 04/1973,NGY,NO OBJECTION,N,Y,N,Y,F,F,3152011,11201997,100  A,NONE,MINOR,NONE,NONE,,SEE RMK,Y,,120.3,Y,CG,N,,31,5,,12,1,,2,24923,,15783,53757,18630,,12/31/10,NGS,00:00.0,NGS,00:00.0,,TIE,"AFRT,CARGO,INSTR,RNTL",Y-L
52294.*A,AIRPORT,MKK,5/31/12,AWP,HNL,HI,HAWAII,MAUI,HI,KAUNAKAKAI,MOLOKAI,PU,PU,HAWAII STATE AIRPORTS DIV,HONOLULU INTL ARPT,"HONOLULU, HI 96819",    808-836-6432,MARVIN MONIZ,KAHULUI ARPT,"KAHULUI, HI 96732",    808-872-3808,21-09-10.3890N,076150.3890N,157-05-46.5220W,565546.5220W,E,454,S,11E,1980,,HAWAIIAN ISLANDS,6,NW,288,ZHN,ZHN,HONOLULU CONTROL FACILITY,,,,N,HNL,HONOLULU,,1-800-WX-BRIEF,,,,MKK,Y,7/1/46,O,I A S 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,7202011,,,,,,,SEE RMK,SS-SR,Y,,125.7,Y,CG,N,,4,,,,,,,0,,19787,4443,24902,672,4/20/11,NGS,,,,,TIE,"AFRT,CARGO",Y-L
52402.*A,AIRPORT,LNY,5/31/12,AWP,HNL,HI,HAWAII,MAUI,HI,LANAI CITY,LANAI,PU,PU,HAWAII ST ARPTS DIV,HONOLULU INTL ARPT,"HONOLULU, HI 96819",    808-836-6432,MARVIN MONIZ,KAHULUI ARPT,"KAHULUI, HI 96732",    808-872-3830,20-47-08.2000N,074828.2000N,156-57-05.1050W,565025.1050W,E,1308,S,11E,1990,,HAWAIIAN ISLANDS,3,SW,505,ZHN,ZHN,HONOLULU CONTROL FACILITY,,,,N,HNL,HONOLULU,,1-800-WX-BRIEF,,,,LNY,Y,9/1/46,O,I A S 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,7222010,,,NONE,NONE,NONE,NONE,,SEE RMK,N,,122.9,N,CG,N,,,,,,,,,4380,,1460,720,100,100,3/16/07,NGS,,,,,TIE,"AFRT,CARGO",Y-L
52420.*A,AIRPORT,LIH,5/31/12,AWP,HNL,HI,HAWAII,KAUAI,HI,LIHUE,LIHUE,PU,PU,HAWAII ST ARPTS DIV,HONOLULU INTL ARPT,"HONOLULU, HI 96819",    808-838-8600,GEORGE CRABBE,3901 MOKULELE LP BOX 6,"LIHUE, HI 96766",    808-246-1400,21-58-33.5389N,079113.5389N,159-20-20.2487W,573620.2487W,E,153,S,11E,1990,,HAWAIIAN ISLANDS,2,E,879,ZHN,ZHN,HONOLULU CONTROL FACILITY,,,,N,HNL,HONOLULU,,1-800-WX-BRIEF,,,,LIH,Y,3/1/50,O,I C S 05/1973,NGY,NO OBJECTION,N,Y,N,Y,F,F,7182006,,100  A,MINOR,MINOR,NONE,NONE,,SEE RMK,Y,,118.9,Y,CG,N,,12,2,,14,,,,27120,,50530,19024,5002,2600,5/31/05,NGS,00:00.0,NGS,00:00.0,,TIE,"AFRT,AGRI,CARGO,CHTR",Y-L
05884.*A,AIRPORT,CID,5/31/12,ACE,NONE,IA,IOWA,LINN,IA,CEDAR RAPIDS,THE EASTERN IOWA,PU,PU,CITY OF CEDAR RAPIDS,3851 RIVER RIDGE DR NE,"CEDAR RAPIDS, IA 52402",    319-286-5051,"MR. TIM BRADSHAW, A.A.E.",2515 ARTHUR COLLINS PKWY SW,"CEDAR RAPIDS, IA 52404-8952",    319-362-3131,41-53-04.9000N,150784.9000N,091-42-38.9000W,330158.9000W,E,869,S,02E,1985,1000,CHICAGO,6,SW,3288,ZAU,ZCG,CHICAGO,,,,N,FOD,FORT DODGE,,1-800-WX-BRIEF,,,,CID,Y,12/1/44,O,I B S 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,9152011,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,118.7,N,CG,N,,111,16,9,4,,,,4891,,18962,15419,17205,165,7/31/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
05950.*A,AIRPORT,DSM,5/31/12,ACE,NONE,IA,IOWA,POLK,IA,DES MOINES,DES MOINES INTL,PU,PU,CITY OF DES MOINES,EAST 1ST & LOCUST,"DES MOINES, IA 50307",    515-256-5100,MR. DONALD SMITHEY,5800 FLEUR DR  RM 201,"DES MOINES, IA 50321-2854",    515-256-5100,41-32-02.3000N,149522.3000N,093-39-47.1000W,337187.1000W,E,958,S,03E,2000,,OMAHA,3,SW,2625,ZMP,ZCP,MINNEAPOLIS,,,,N,FOD,FORT DODGE,,1-800-WX-BRIEF,,,,DSM,Y,4/1/40,O,I C S 05/1973,NGY3,CONDITIONAL,N,Y,Y,Y,F,F,5052011,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,,SS-SR,Y,122.95,,N,CG,N,,56,28,23,1,,17,,47034,,,7171,25547,3992,12/31/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES,SURV",Y-L
05957.*A,AIRPORT,DBQ,5/31/12,ACE,NONE,IA,IOWA,DUBUQUE,IA,DUBUQUE,DUBUQUE RGNL,PU,PU,CITY OF DUBUQUE,11000 ARPT RD,"DUBUQUE, IA 52003",    563-589-4128,"MR. ROBERT GRIERSON, A.A.E.",11000 AIRPORT ROAD,"DUBUQUE, IA 52003",    563-589-4136,42-24-07.2000N,152647.2000N,090-42-34.1000W,326554.1000W,E,1077,S,03E,1975,,CHICAGO,7,SW,1240,ZAU,ZCG,CHICAGO,,,,N,FOD,FORT DODGE,,1-800-WX-BRIEF,,,,DBQ,Y,3/1/43,O,I A S 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,10042011,,100LLA1+,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SEE RMK,Y,122.95,119.5,Y,CG,N,,61,11,2,,,,,33,,3188,23407,21567,222,9/30/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,CHTR,INSTR,RNTL,SALES",Y-L
05999.*A,AIRPORT,FOD,5/31/12,ACE,NONE,IA,IOWA,WEBSTER,IA,FORT DODGE,FORT DODGE RGNL,PU,PU,CITY OF FORT DODGE,819 FIRST AVE SOUTH,"FORT DODGE, IA 50501",    515-573-7144,MS. RHONDA CHAMBERS,1639 NELSON AVE SUITE 2,"FORT DODGE, IA 50501",    515-573-3881,42-33-04.3000N,153184.3000N,094-11-30.6000W,339090.6000W,E,1156,S,02E,2010,843,OMAHA,3,N,992,ZMP,ZCP,MINNEAPOLIS,,,,N,FOD,FORT DODGE,,1-800-WX-BRIEF,,,,FOD,Y,10/1/52,O,II A S 11/1991,NGY,NO OBJECTION,N,N,N,Y,F,F,8122010,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,123,123,Y,CG,N,,20,4,0,0,,,,1500,,500,7500,10000,200,7/31/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CHTR,INSTR,RNTL",Y-L
06164.*A,AIRPORT,MCW,5/31/12,ACE,NONE,IA,IOWA,CERRO GORDO,IA,MASON CITY,MASON CITY MUNI,PU,PU,CITY OF MASON CITY,AIRPORT COMMISSION,"MASON CITY, IA 50402-1484",    641-421-3397,MS PAMELA OSGOOD,BOX 1484,"MASON CITY, IA 50402-1484",    641-421-3397,43-09-28.1000N,155368.1000N,093-19-52.5000W,335992.5000W,E,1214,S,05E,1980,800,OMAHA,5,W,1103,ZMP,ZCP,MINNEAPOLIS,,,,N,FOD,FORT DODGE,,1-800-WX-BRIEF,,,,MCW,Y,3/1/43,O,I A S 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,8252011,,100LLA,MAJOR,MAJOR,,,SEE RMK,SS-SR,N,123,123,Y,CG,N,,45,9,1,,,,,1808,,1500,12000,18000,60,7/31/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AMB,CHTR,INSTR,RNTL",Y-L
06341.*A,AIRPORT,SUX,5/31/12,ACE,NONE,IA,IOWA,WOODBURY,IA,SIOUX CITY,SIOUX GATEWAY/COL. BUD DAY FIELD,PU,PU,SIOUX GATEWAY AIRPORT AUTH.,2403 AVIATION BLVD.,"SIOUX CITY, IA 51111",    712-279-6165,MR. CURT MILLER,2403 AVIATION BLVD.,"SIOUX CITY, IA 51111",    712-279-0170,42-24-09.4000N,152649.4000N,096-23-03.7000W,346983.7000W,E,1098,S,06E,1985,,OMAHA,6,S,2460,ZMP,ZCP,MINNEAPOLIS,,,,N,FOD,FORT DODGE,,1-800-WX-BRIEF,,,,SUX,Y,4/1/40,O,I B S 05/1973,NGPY,NO OBJECTION,N,N,Y,Y,F,F,5052010,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,118.7,N,CG,N,,34,2,15,1,,9,3,1785,,2592,12077,,4314,3/31/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,CHTR,INSTR,RNTL,SALES,SURV",Y-L
06402.*A,AIRPORT,ALO,5/31/12,ACE,NONE,IA,IOWA,BLACK HAWK,IA,WATERLOO,WATERLOO RGNL,PU,PU,CITY OF WATERLOO,715 MULBERRY,"WATERLOO, IA 50701",    319-291-4323,"MR. BRADLEY A. HAGEN, A.A.E.",2790 AIRPORT BLVD,"WATERLOO, IA 50704",    319-291-4483,42-33-25.5000N,153205.5000N,092-24-01.2000W,332641.2000W,E,873,S,03E,1985,,CHICAGO,4,NW,2583,ZAU,ZCG,CHICAGO,,,,N,FOD,FORT DODGE,,1-800-WX-BRIEF,,,,ALO,Y,5/1/47,O,I A S 05/1973,NGY3,NO OBJECTION,N,N,Y,Y,F,F,10062011,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,125.075,N,CG,N,,75,9,4,,,9,,402,,3522,6877,16311,1844,9/30/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AMB,CHTR,INSTR,RNTL",Y-L
04149.*A,AIRPORT,BOI,5/31/12,ANM,SEA,ID,IDAHO,ADA,ID,BOISE,BOISE AIR TERMINAL/GOWEN FLD,PU,PU,CITY OF BOISE,PO BOX 500,"BOISE, ID 83701",    208-383-3110,REBECCA HUPP,3201 AIRPORT WAY SUITE 1000,"BOISE, ID 83705",    208-383-3110,43-33-51.7000N,156831.7000N,116-13-22.3000W,418402.3000W,E,2871,S,15E,2005,,SALT LAKE CITY,3,S,5000,ZLC,ZCU,SALT LAKE CITY,,,,N,BOI,BOISE,,1-800-WX-BRIEF,,,,BOI,Y,4/1/40,O,I B S 05/1973,NGHYP3,NO OBJECTION,Y,N,Y,Y,F,F,6012009,,100LLA1+,MINOR,MINOR,HIGH,HIGH,SS-SR,SS-SR,Y,122.95,,N,CG,N,,146,31,21,17,,33,,34475,,17699,20532,37156,11209,12/31/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AMB,AVNCS,CARGO,CHTR,INSTR,SALES",Y-L
04177.*A,AIRPORT,COE,5/31/12,ANM,SEA,ID,IDAHO,KOOTENAI,ID,COEUR D'ALENE,COEUR D'ALENE - PAPPY BOYINGTON FIELD,PU,PU,KOOTENAI COUNTY,PO BOX 9000,"COEUR D ALENE, ID 83816",    208-446-1600,GREG DELAVAN,10375 SENSOR AVE,"HAYDEN, ID 83835",    208-446-1860,47-46-27.5000N,171987.5000N,116-49-10.5000W,420550.5000W,E,2320,S,19E,1990,,GREAT FALLS,9,NW,1140,ZSE,ZCS,SEATTLE,,,,N,BOI,BOISE,,1-800-WX-BRIEF,,,,COE,Y,12/1/42,O,IV A U 12/2005,NGY3,NO OBJECTION,N,N,N,Y,F,F,2242012,,100  A,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,225,20,6,18,1,,1,,,27200,36400,58020,1428,12/31/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","CHTR,INSTR,RNTL",Y-L
04206.*A,AIRPORT,SUN,5/31/12,ANM,SEA,ID,IDAHO,BLAINE,ID,HAILEY,FRIEDMAN MEMORIAL,PU,PU,CITY OF HAILEY,BLANE CO - BOX 400,"HAILEY, ID 83333",    208-788-5500,RICHARD R BAIRD,P.O. BOX 929,"HAILEY, ID 83333",    208-788-4956,43-30-13.6000N,156613.6000N,114-17-44.0000W,411464.0000W,E,5320,S,16E,1995,,SALT LAKE CITY,1,SE,211,ZLC,ZCU,SALT LAKE CITY,,,,N,BOI,BOISE,,1-800-WX-BRIEF,,,,SUN,Y,4/1/40,O,I A S 10/1974,NGY,NOT ANALYZED,N,N,N,Y,F,F,7222009,,100LLA1+,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SS-SR,Y,122.95,125.6,N,CG,Y,,101,38,8,1,0,,2,1839,,17863,1486,22991,58,6/30/09,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
04209.*A,AIRPORT,IDA,5/31/12,ANM,SEA,ID,IDAHO,BONNEVILLE,ID,IDAHO FALLS,IDAHO FALLS RGNL,PU,PU,CITY OF IDAHO FALLS,PO BOX 50220,"IDAHO FALLS, ID 83405",    208-612-8224,LEN NELSON,2140 N SKYLINE,"IDAHO FALLS, ID 83402",    208-612-8221,43-30-49.4000N,156649.4000N,112-04-14.7000W,403454.7000W,E,4744,S,15E,1990,,SALT LAKE CITY,2,NW,866,ZLC,ZCU,SALT LAKE CITY,,,,N,BOI,BOISE,,1-800-WX-BRIEF,,,,IDA,Y,4/1/40,O,I B S 05/1993,NGY3,NO OBJECTION,N,N,N,Y,F,F,8192011,,100LLA1,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,118.5,Y,CG,N,,128,29,5,5,3,,,1974,,7208,14400,14300,187,12/31/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
04234.*A,AIRPORT,LWS,5/31/12,ANM,SEA,ID,IDAHO,NEZ PERCE,ID,LEWISTON,LEWISTON-NEZ PERCE COUNTY,PU,PU,CITY OF LEWISTON/NEZ PERCE COUNTY,"LEWISTON-NEZ PERCE COUNTY AIRPORT, 406 BURRELL AVE., SUITE 301","LEWISTON, ID 83501",    208-746-7962,ROBIN TURNER,"LEWISTON-NEZ PERCE COUNTY AIRPORT, 406 BURRELL AVE., SUITE 301","LEWISTON, ID 83501",    208-746-7962,46-22-28.2000N,166948.2000N,117-00-55.4000W,421255.4000W,E,1442,E,15E,2010,,SEATTLE,2,S,865,ZSE,ZCS,SEATTLE,,,,N,BOI,BOISE,,1-800-WX-BRIEF,,,,LWS,Y,7/1/44,O,I A S 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,1252012,,100  100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,122.95,119.4,Y,CG,N,,117,12,2,14,,,,2815,,4508,13310,14017,775,1/1/12,NGS,00:00.0,FAA-EST,00:00.0,,"HGR,TIE","AFRT,AGRI,CARGO,CHTR,INSTR,RNTL",Y-L
04288.*A,AIRPORT,PIH,5/31/12,ANM,SEA,ID,IDAHO,POWER,ID,POCATELLO,POCATELLO RGNL,PU,PU,CITY OF POCATELLO,CITY HALL,"POCATELLO, ID 83201",    208-234-6154,DAVID ALLEN,BOX 4169,"POCATELLO, ID 83205-4169",    208-234-6154,42-54-35.3000N,154475.3000N,112-35-45.3000W,405345.3000W,E,4452,S,14E,2005,,SALT LAKE CITY,7,NW,3374,ZLC,ZCU,SALT LAKE CITY,,,,N,BOI,BOISE,,1-800-WX-BRIEF,,,,PIH,Y,2/1/44,O,II A S 04/1973,NGPY,NO OBJECTION,N,N,N,Y,F,F,8172011,,100LLA1   A1+,MAJOR,MAJOR,HIGH/LOW,,SEE RMK,SS-SR,Y,122.95,119.1,Y,CG,N,,51,16,1,5,,,,156,,7387,16997,11877,347,12/31/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,CARGO,CHTR,INSTR,RNTL",Y-L
04344.1*A,AIRPORT,TWF,5/31/12,ANM,SEA,ID,IDAHO,TWIN FALLS,ID,TWIN FALLS,JOSLIN FIELD - MAGIC VALLEY RGNL,PU,PU,CITY & COUNTY OF TWIN FALLS,PO BOX 1907,"TWIN FALLS, ID 83303",    208-733-5215,BILL CARBERRY,BOX 1907,"TWIN FALLS, ID 83303",    208-733-5215,42-28-54.5000N,152934.5000N,114-29-15.9000W,412155.9000W,E,4154,S,16E,1985,,SALT LAKE CITY,4,S,1468,ZLC,ZCU,SALT LAKE CITY,,,,N,BOI,BOISE,,1-800-WX-BRIEF,,,,TWF,Y,2/1/48,O,I A S 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,3102010,,100LLA1+,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SS-SR,Y,122.95,118.2,Y,CG,Y,,90,10,1,8,,,,158,,7493,7678,14693,1364,12/31/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AGRI,CARGO,CHTR,INSTR",Y-L
